condition,gr_ratio,hue_mean,sat_mean,lbp_std
rotten,0.9614763548981031,16.5214,29.5509,0.11263444409887544
rotten,1.0030485223379402,88.9266,35.7829,0.034765816540939576
rotten,0.9991556620336266,9.0133,4.7904,0.24988542972232586
rotten,0.9792527782774427,18.1083,26.4098,0.184890583841263
rotten,1.0068194094068674,86.0681,36.5613,0.05676268139680859
rotten,0.9850086865413935,29.2158,22.3063,0.03912055725183265
rotten,1.0201977255144188,89.8109,44.5083,0.03305501474483824
rotten,0.9853210309705718,83.1315,31.8134,0.032549715817317096
rotten,0.9508133773335108,44.5247,61.568,0.032653054983978996
rotten,0.9665176402834725,24.9888,30.7685,0.03851963135471635
rotten,0.9709909565854122,27.7525,33.8501,0.0350750053421799
rotten,0.9749954935398331,16.4225,19.279,0.16629572452251784
rotten,0.8772321100024614,33.6836,117.1287,0.036680158120309586
rotten,0.9756067384690174,72.379,46.6913,0.033942598600719714
rotten,0.9691331219345023,25.7507,29.4295,0.035166233801086334
rotten,0.7043937541435332,139.1572,95.2529,0.057457236266111274
rotten,0.9559849274718579,58.1995,29.6984,0.09615276386121686
rotten,0.8915605761892019,50.9054,98.0461,0.03447541152419053
rotten,0.9669498839910486,24.9495,30.8816,0.033828094829167245
rotten,0.954427831548906,52.4493,28.4736,0.1399821202728441
rotten,0.967995043905562,87.879,35.1301,0.046107895197838
rotten,0.9617730080032514,21.9453,34.9699,0.03457192502249414
rotten,1.0130796221048695,91.6099,34.2816,0.034300903774750445
rotten,0.9667995477439675,7.1509,30.3166,0.19834715524083446
rotten,0.960721999666108,11.7133,31.691,0.14979577429124044
rotten,0.7750647848285357,16.2997,96.0218,0.03934821469508297
rotten,0.9690110346816169,66.1165,50.4018,0.031243559333161256
rotten,0.9700651341405657,24.4538,30.986,0.03523614621027225
rotten,0.9748397315079332,14.5486,25.022,0.16345901013604675
rotten,0.9589743851584681,20.8518,34.0941,0.03616542547431749
rotten,0.9627101975208447,23.1091,32.4997,0.033796390336418486
rotten,0.9518908062014612,19.4022,40.4085,0.0292778414475617
rotten,0.9616142007521052,22.4115,33.4846,0.03503763690311424
rotten,0.9532369319449677,19.9104,39.6424,0.029759334667006188
rotten,0.9726793301954029,23.5911,26.3608,0.035309233916224404
rotten,0.9694139686972049,27.3388,29.3992,0.0367551356918977
rotten,0.9640110609507437,19.0203,28.6242,0.03664467218752862
rotten,0.9861022764721107,83.9029,28.0688,0.04300874329284744
rotten,0.9907980660476619,92.3427,33.0434,0.032381043834167754
rotten,0.9957346295826935,14.6768,6.8805,0.20723975967803654
rotten,0.9636597926960241,26.8887,32.6958,0.031597436601729575
rotten,0.9564935150328613,12.1638,36.1611,0.14698913563824653
rotten,0.9812942738686861,76.6954,38.2431,0.05523513374103312
rotten,0.9759064270057135,26.2313,28.9067,0.030963914478118675
rotten,0.9703429827664929,27.4134,29.0819,0.03832043840702124
rotten,0.9766943470124086,29.4311,28.0308,0.036672878258067226
rotten,1.011745170378018,84.0783,46.5913,0.03405081496481557
rotten,0.9558528178094168,64.0784,68.7195,0.0400952116801804
